60
100
L,1967,-1360,861,1120,442,-3199,-323,-507,R,-1250,-660,1019,63,-229,90,-222,458
L,1681,-931,604,1117,490,-3049,-275,-565,R,-1273,-393,705,558,-169,-267,-151,575
L,1387,-639,387,996,436,-2664,-239,-616,R,-1368,-241,452,753,317,-350,-95,694
L,1443,-439,278,848,212,-2240,-166,-701,R,-1583,-253,297,676,1034,-174,-89,761
L,1992,-296,385,547,-149,-2075,-83,-762,R,-1872,-471,234,406,1139,125,-140,742
L,2377,-65,637,44,-232,-2068,-15,-749,R,-1943,-833,296,93,778,330,-229,655
L,2192,284,804,-491,-147,-1947,69,-687,R,-1900,-1191,541,-49,399,438,-310,554
L,1904,671,640,-923,-54,-1690,184,-640,R,-1813,-1293,808,39,163,500,-330,499
L,1467,987,219,-1301,200,-1497,336,-554,R,-1799,-1081,823,165,31,471,-286,529
L,774,1277,-143,-1703,202,-1539,583,-310,R,-1845,-679,554,157,-175,429,-194,645
L,279,1691,-226,-2079,-569,-1854,779,-93,R,-1876,-263,232,-28,-449,451,-79,793
L,518,2068,-243,-2398,-1762,-2207,745,-139,R,-1906,19,-8,-347,-261,608,5,893
L,1292,1859,-281,-2684,-2348,-2238,545,-344,R,-2095,114,-29,-796,-62,920,31,867
L,2145,763,-43,-2617,-2321,-1460,195,-703,R,-2170,-164,115,-1281,-436,1148,-43,847
L,3256,-853,542,-2152,-1200,-184,-144,-727,R,-2017,-825,314,-1464,-746,977,-220,663
L,3924,-2004,1322,-1431,-2,523,-258,-585,R,-1868,-1457,521,-1150,-666,689,-369,503
L,3611,-1441,1556,-415,244,529,-201,-595,R,-1661,-1587,668,-495,-396,607,-415,439
L,2831,-33,1190,450,541,298,-6,-671,R,-1441,-1256,698,108,-181,455,-381,450
L,2143,694,786,761,1152,154,169,-639,R,-1468,-853,579,438,107,66,-284,549
L,1336,761,542,860,1865,235,278,-550,R,-1783,-559,488,533,214,-294,-168,673
L,405,851,302,1011,1986,494,592,-241,R,-1910,-444,458,534,122,-394,-127,715
L,-154,1240,207,894,1101,788,782,69,R,-1883,-355,433,567,300,-340,-104,734
L,-4,1587,494,473,-269,781,727,1,R,-1998,-196,431,529,472,-269,-54,766
L,962,1587,888,140,-1262,328,504,-278,R,-2082,-52,397,335,456,-177,-14,791
L,1868,1028,1112,7,-1278,4,253,-509,R,-2250,-116,474,48,121,27,-29,777
L,2319,173,1282,-114,-560,462,37,-608,R,-2479,-648,837,-46,-471,337,-139,668
L,1815,-257,1035,-170,328,1550,-70,-595,R,-2841,-1212,1201,445,-472,1022,-214,589
L,850,382,317,21,-258,2284,228,-597,R,-3194,-538,1409,1196,831,2187,-87,647
L,1516,1617,-61,-316,-1282,1772,468,-431,R,-2464,968,651,1023,177,2701,207,646
L,2422,1602,300,-1071,-1378,305,332,-560,R,-963,2084,-870,-467,-1063,2257,580,230
L,2785,350,867,-1021,-1691,-672,68,-714,R,-510,2190,-1392,-2269,-800,1618,559,111
L,3079,-835,1065,-382,-1322,-528,-143,-662,R,-1285,906,-606,-3222,-1598,1127,325,496
L,2831,-1426,1011,263,-549,-132,-253,-583,R,-2321,-1079,863,-2641,-1551,1106,-235,592
L,2949,-1201,833,658,-501,-176,-214,-636,R,-2831,-2311,2041,-946,-957,1493,-335,425
L,3438,-290,658,708,-317,-723,-47,-781,R,-2245,-2159,2072,577,-1367,1335,-352,368
L,3386,749,477,530,445,-1485,123,-752,R,-982,-1253,1106,1372,-1984,89,-402,304
L,2552,1313,272,103,1197,-1961,271,-622,R,151,-333,-7,1406,-1325,-1783,-654,-244
L,1484,1381,104,-537,1752,-1848,428,-469,R,474,623,-910,881,389,-3614,312,-232
L,509,1098,88,-994,1469,-1359,647,-247,R,-590,2192,-1358,-35,1654,-4366,559,129
L,412,798,292,-1034,618,-760,576,-258,R,-2649,3161,-814,-1527,1746,-2796,487,390
L,1183,495,607,-808,437,-198,204,-564,R,-4156,2046,614,-2687,1751,14,259,627
L,1676,171,990,-461,351,150,50,-590,R,-4073,-783,1951,-2281,1380,1580,-98,626
L,1917,138,1236,-138,252,255,34,-570,R,-3389,-3459,2376,-693,428,1709,-398,389
L,1897,375,1151,166,556,273,95,-574,R,-3081,-3790,2192,882,444,1638,-450,351
L,1641,530,998,483,569,318,154,-554,R,-2914,-1801,1734,1617,-562,1446,-279,493
L,1623,673,916,659,404,376,198,-549,R,-2470,568,1143,1671,-2104,839,118,626
L,1567,713,984,598,352,590,210,-522,R,-2016,1779,555,1289,-3142,243,403,472
L,1376,584,1063,501,454,1065,185,-486,R,-1552,1835,8,593,-3809,101,497,402
L,1004,482,906,528,315,1672,196,-443,R,-789,1393,-70,82,-3243,303,603,295
L,605,465,568,637,-420,2204,292,-394,R,-285,928,267,-89,-2097,430,671,164
L,652,861,139,562,-619,2467,522,-367,R,-305,767,649,-132,-1176,446,469,168
L,891,1527,-272,72,-661,2346,585,-298,R,-332,841,939,-88,-587,590,401,147
L,2130,2042,-762,-640,-2196,1526,420,-443,R,-275,1001,1100,36,73,797,414,104
L,4004,1747,-981,-1799,-2785,-180,229,-634,R,-467,1102,1340,41,281,957,378,150
L,4351,67,-317,-2671,-1922,-1667,8,-857,R,-624,1064,1648,-46,217,1094,311,176
L,3901,-2122,904,-2140,-830,-1586,-279,-594,R,-868,722,2103,-156,-203,919,176,213
L,3194,-3423,1759,-780,320,-813,-431,-396,R,-817,183,2507,-306,-800,514,39,180
L,2523,-2756,1477,589,124,-273,-433,-388,R,-486,15,2510,-410,-675,115,3,109
L,2460,-1103,628,1468,150,259,-234,-627,R,-453,305,2266,-345,-519,-249,75,112
L,2355,39,-70,1820,1000,820,9,-880,R,-504,660,1995,-233,-678,-487,177,134
L,2088,813,-578,1814,1447,1236,205,-644,R,-347,859,1762,-120,-867,-592,255,100
L,1606,1450,-829,1357,1082,1302,387,-438,R,-56,1003,1526,9,-542,-565,333,17
L,1279,1881,-894,505,299,857,503,-315,R,4,1100,1372,56,9,-406,387,-1
L,1483,1994,-829,-523,-305,-91,495,-344,R,-44,1138,1306,-13,190,-155,410,14
L,2045,1839,-800,-1430,-958,-1016,399,-455,R,-79,1143,1361,-123,205,209,399,25
L,2695,1018,-704,-1989,-1641,-1465,200,-653,R,-133,1031,1569,-165,195,496,332,40
L,3563,-616,-30,-2253,-1282,-1510,-98,-801,R,-195,772,1865,-91,198,514,223,55
L,3910,-2010,961,-2077,-221,-1317,-265,-603,R,-329,405,2207,-36,430,327,103,83
L,3825,-2094,1494,-1205,409,-1202,-270,-560,R,-600,4,2477,-29,478,54,0,136
